ID,Name,Category,Price,Desc,IconName
1080,민트 잎,Non Alcohol,1000,모히또의 핵심 허브,Icon_MintLeaf
1081,스트레이너,Tool,7000,얼음을 걸러주는 도구,Icon_Strainer
1082,머들러,Tool,6000,과일을 으깨는 방망이,Icon_Muddler
1083,믹싱 글라스,Tool,12000,젓기 전용 유리잔,Icon_MixingGlass
1084,바 나이프,Tool,9000,과일 손질용 칼,Icon_BarKnife
1085,필러,Tool,5000,껍질을 얇게 깎는 도구,Icon_Peeler
1086,스퀴저,Tool,8000,과즙 짜는 도구,Icon_Squeezer
1087,아이스 픽,Tool,15000,얼음을 깨는 송곳,Icon_IcePick
1088,아이스 텅,Tool,4000,얼음 집게,Icon_IceTongs
1089,얼음 스쿱,Tool,5000,얼음을 퍼담는 삽,Icon_IceScoop
1090,푸어러,Tool,3000,술병 입구에 꽂는 캡,Icon_Pourer
1091,코르크 따개,Tool,6000,와인 오프너,Icon_Corkscrew
1092,병따개,Tool,2000,기본적인 오프너,Icon_Opener
1093,블렌더,Tool,30000,프로즌 칵테일용 믹서,Icon_Blender
1094,칵테일 픽,Tool,2000,가니쉬를 꽂는 핀,Icon_CocktailPick
1095,코스터,Tool,1000,잔 받침대,Icon_Coaster
1096,빨대,Tool,500,음료용 스트로우,Icon_Straw
1097,믹싱 스틱,Tool,1000,음료를 젓는 막대,Icon_Stirrer
1098,토치,Tool,12000,훈연 및 가니쉬용,Icon_Torch
1099,스모킹 건,Tool,25000,연기를 주입하는 기계,Icon_SmokingGun
1100,바 매트,Tool,8000,미끄럼 방지 고무판,Icon_BarMat
1101,쿠페 잔,Glass,4000,클래식한 샴페인 잔,Icon_CoupeGlass
1102,마가리타 잔,Glass,4500,소금을 묻히기 좋은 잔,Icon_MargaritaGlass
1103,하이볼 잔,Glass,2000,길쭉한 기본 잔,Icon_HighballGlass
1104,콜린스 잔,Glass,2200,하이볼보다 좁고 긴 잔,Icon_CollinsGlass
1105,샷 잔,Glass,1000,한 입 털어넣는 잔,Icon_ShotGlass
1106,허리케인 잔,Glass,5000,곡선이 아름다운 잔,Icon_HurricaneGlass
1107,스니프터,Glass,6000,향을 모아주는 꼬냑 잔,Icon_Snifter
1108,샴페인 플루트,Glass,4000,기포가 오래가는 잔,Icon_ChampagneFlute
1109,와인 글라스,Glass,4500,기본적인 와인 잔,Icon_WineGlass
1110,티키 머그,Glass,7000,이국적인 도자기 잔,Icon_TikiMug
1111,구리 머그,Glass,8000,차가움이 오래가는 잔,Icon_CopperMug
1112,흑설탕,Powder,600,풍미 있는 갈색 설탕,Icon_BrownSugar
1113,슈가 파우더,Powder,800,눈처럼 고운 설탕,Icon_PowderedSugar
1114,핑크 솔트,Powder,1500,히말라야 핑크 소금,Icon_PinkSalt
1115,후추,Powder,1000,매콤한 통후추,Icon_Pepper
1116,넛맥 가루,Powder,2000,향긋한 육두구,Icon_Nutmeg
1117,코코아 파우더,Powder,1200,쌉쌀한 초콜릿 가루,Icon_CocoaPowder
1118,식용 금가루,Powder,15000,럭셔리한 금박,Icon_GoldDust
1119,커피 원두,Powder,1500,고소한 로스팅 원두,Icon_CoffeeBean
1120,말린 꽃잎,Powder,3000,식용 장미 꽃잎,Icon_DriedFlower
